userbook_id	user_id	book_id	gr_shelf_id	gr_shelf_name	status	source	rating
131	1	131	53719321	read	read	goodreads	4
132	1	132	53719321	read	read	goodreads	3
133	1	133	53719321	read	read	goodreads	2
134	1	134	53719321	read	read	goodreads	3
135	1	135	53719321	read	read	goodreads	5
136	1	136	53719321	read	read	goodreads	4
137	1	137	53719321	read	read	goodreads	5
138	1	138	53719321	read	read	goodreads	3
139	1	139	53719321	read	read	goodreads	3
140	1	140	53719321	read	read	goodreads	5
141	1	141	53719321	read	read	goodreads	4
142	1	142	53719321	read	read	goodreads	4
143	1	143	53719321	read	read	goodreads	3
144	1	144	53719321	read	read	goodreads	4
145	1	145	53719321	read	read	goodreads	1
146	1	146	53719321	read	read	goodreads	5
147	1	147	53719321	read	read	goodreads	5
148	1	148	53719321	read	read	goodreads	5
149	1	149	53719321	read	read	goodreads	5
150	1	150	53719321	read	read	goodreads	5
151	1	151	53719321	read	read	goodreads	5
152	1	152	53719321	read	read	goodreads	5
153	1	153	53719321	read	read	goodreads	3
154	1	154	53719321	read	read	goodreads	4
155	1	155	53719321	read	read	goodreads	5
156	1	156	53719321	read	read	goodreads	5
157	1	157	53719321	read	read	goodreads	4
158	1	158	53719321	read	read	goodreads	3
159	1	159	53719321	read	read	goodreads	1
160	1	160	53719321	read	read	goodreads	3
161	1	161	53719321	read	read	goodreads	4
162	1	162	53719321	read	read	goodreads	1
163	1	163	53719321	read	read	goodreads	5
164	1	164	53719321	read	read	goodreads	4
165	1	165	53719321	read	read	goodreads	4
166	1	166	53719321	read	read	goodreads	2
167	1	167	53719321	read	read	goodreads	5
168	1	168	53719321	read	read	goodreads	1
169	1	169	53719321	read	read	goodreads	4
170	1	170	53719321	read	read	goodreads	5
171	1	171	53719321	read	read	goodreads	3
172	1	172	53719321	read	read	goodreads	2
173	1	173	53719321	read	read	goodreads	1
174	1	174	53719321	read	read	goodreads	4
175	1	175	53719321	read	read	goodreads	4
176	1	176	53719321	read	read	goodreads	5
177	1	177	53719321	read	read	goodreads	3
178	1	178	53719321	read	read	goodreads	5
179	1	179	53719321	read	read	goodreads	5
180	1	180	53719321	read	read	goodreads	4
181	1	181	53719321	read	read	goodreads	5
182	1	182	53719321	read	read	goodreads	5
183	1	183	53719321	read	read	goodreads	1
184	1	184	53719321	read	read	goodreads	0
185	1	185	53719321	read	read	goodreads	2
186	1	186	53719321	read	read	goodreads	5
187	1	187	53719321	read	read	goodreads	2
188	1	188	53719321	read	read	goodreads	1
189	1	189	53719321	read	read	goodreads	5
190	1	190	53719321	read	read	goodreads	5
191	1	191	53719321	read	read	goodreads	5
192	1	192	53719321	read	read	goodreads	3
193	1	193	53719321	read	read	goodreads	5
194	1	194	53719321	read	read	goodreads	4
195	1	195	53719321	read	read	goodreads	4
196	1	196	53719321	read	read	goodreads	5
197	1	197	53719321	read	read	goodreads	4
198	1	198	53719321	read	read	goodreads	3
199	1	199	53719321	read	read	goodreads	3
200	1	200	53719321	read	read	goodreads	4
201	1	201	53719321	read	read	goodreads	4
202	1	202	53719321	read	read	goodreads	4
203	1	203	53719321	read	read	goodreads	3
204	1	204	53719321	read	read	goodreads	2
205	1	205	53719321	read	read	goodreads	5
206	1	206	53719321	read	read	goodreads	5
207	1	207	53719321	read	read	goodreads	5
208	1	208	53719321	read	read	goodreads	4
209	1	209	53719321	read	read	goodreads	2
210	1	210	53719320	currently-reading	read	goodreads	0
211	1	211	53719320	currently-reading	read	goodreads	0
212	1	212	53719320	currently-reading	read	goodreads	5
213	1	213	53719319	to-read	want-to-read	goodreads	0
214	1	214	53719319	to-read	want-to-read	goodreads	0
215	1	215	53719319	to-read	want-to-read	goodreads	0
216	1	216	53719319	to-read	want-to-read	goodreads	0
217	1	217	53719319	to-read	want-to-read	goodreads	0
